Movie:Adipurush		Cast:Prabhas,Kritisanon		Director:Oumraut
371		no		200
372		no		200
373		no		200
374		no		200
375		no		200
376		no		200
377		no		200
378		no		200
379		no		200
380		no		200
381		no		200
382		no		200
383		no		200
384		no		200
385		no		200
386		no		200
387		no		200
388		no		200
389		no		200
390		no		200
391		no		200
392		no		200
393		no		200
394		no		200
395		no		200
396		no		200
397		no		200
398		no		200
399		no		200
400		no		200
401		no		200
402		no		200
403		no		200
404		no		200
405		no		200
406		no		200
407		no		200
408		no		200
409		no		200
410		no		200
411		no		200
412		no		200
413		no		200
414		no		200
415		no		200
416		no		200
417		no		200
418		no		200
419		no		200
420		no		200
421		no		200
422		no		200
423		no		200
424		no		200
425		no		200
426		no		200
427		no		200
428		no		200
429		no		200
430		no		200
431		no		200
432		no		200
433		no		200
434		no		200
435		no		200
436		no		200
437		no		200
438		no		200
439		no		200
440		no		200
441		no		200
442		no		200
443		no		200
444		no		200
445		no		200
446		no		200
447		no		200
448		no		200
449		no		200
450		no		200
451		no		200
452		no		200
453		no		200
454		no		200
455		no		200
456		no		200
457		no		200
458		no		200
459		no		200
460		no		200
461		no		200
462		no		200
463		no		200
464		no		200
465		no		200
466		no		200
467		no		200
468		no		200
469		no		200
470		no		200
471		no		200
472		no		200
473		no		200
474		no		200
475		no		200
476		no		200
477		no		200
478		no		200
479		no		200
480		no		200
481		no		200
482		no		200
483		no		200
484		no		200
485		no		200
486		no		200
487		no		200
488		no		200
489		no		200
490		no		200
491		no		200
492		no		200
493		no		200
494		no		200
495		no		200
496		no		200
497		no		200
498		no		200
499		no		200
500		no		200
501		no		200
502		no		200
503		no		200
504		no		200
505		no		200
506		no		200
507		no		200
508		no		200
509		no		200
510		no		200
511		no		200
512		no		200
513		no		200
514		no		200
515		no		200
516		no		200
517		no		200
518		no		200
519		no		200
520		no		200
521		no		200
522		no		200
523		no		200
524		no		200
525		no		200
526		no		200
527		no		200
528		no		200
529		no		200
530		no		200
531		no		200
532		no		200
533		no		200
534		no		200
535		no		200
536		no		200
537		no		200
538		no		200
539		no		200
540		no		200
541		no		200
542		no		200
543		no		200
544		no		200
545		no		200
546		no		200
547		no		200
548		no		200
549		no		200
550		no		200
551		no		200
552		no		200
553		no		200
554		no		200
555		no		200
556		no		200
557		no		200
558		no		200
559		no		200
560		no		200
